# {'n':302, 'M':2, 'N':2, 'f':[0,1], 'f_':[2,3], 'x':[4,5]}
0,0.794,0.719,0.877,0.672,0.794,0.719
1,0.906,0.142,1.000,0.000,0.906,0.142
2,0.402,0.930,0.444,0.918,0.402,0.930
3,0.874,0.212,0.965,0.081,0.874,0.212
4,0.369,0.937,0.407,0.926,0.369,0.937
5,0.886,0.168,0.979,0.030,0.886,0.168
6,0.897,0.146,0.991,0.005,0.897,0.146
7,0.774,0.855,0.855,0.831,0.774,0.855
8,0.848,0.343,0.937,0.235,0.848,0.343
9,0.893,0.154,0.986,0.014,0.893,0.154
10,0.277,0.987,0.305,0.985,0.277,0.987
11,0.268,0.992,0.295,0.990,0.268,0.992
12,0.307,0.970,0.339,0.964,0.307,0.970
13,0.859,0.281,0.949,0.162,0.859,0.281
14,0.342,0.949,0.377,0.941,0.342,0.949
15,0.355,0.943,0.392,0.933,0.355,0.943
16,0.885,0.173,0.977,0.036,0.885,0.173
17,0.845,0.364,0.933,0.258,0.845,0.364
18,0.303,0.972,0.334,0.967,0.303,0.972
19,0.329,0.957,0.363,0.950,0.329,0.957
20,0.312,0.967,0.344,0.961,0.312,0.967
21,0.397,0.930,0.438,0.918,0.397,0.930
22,0.379,0.934,0.418,0.923,0.379,0.934
23,0.334,0.954,0.369,0.946,0.334,0.954
24,0.871,0.224,0.961,0.096,0.871,0.224
25,0.890,0.158,0.983,0.019,0.890,0.158
26,0.811,0.596,0.896,0.530,0.811,0.596
27,0.786,0.776,0.868,0.739,0.786,0.776
28,0.340,0.950,0.375,0.942,0.340,0.950
29,0.864,0.254,0.954,0.131,0.864,0.254
30,0.789,0.756,0.871,0.716,0.789,0.756
31,0.837,0.419,0.924,0.323,0.837,0.419
32,0.830,0.462,0.917,0.373,0.830,0.462
33,0.882,0.181,0.974,0.045,0.882,0.181
34,0.350,0.945,0.387,0.936,0.350,0.945
35,0.401,0.930,0.442,0.918,0.401,0.930
36,0.806,0.638,0.890,0.578,0.806,0.638
37,0.305,0.971,0.337,0.966,0.305,0.971
38,0.294,0.977,0.324,0.973,0.294,0.977
39,0.272,0.990,0.300,0.988,0.272,0.990
40,0.281,0.985,0.309,0.982,0.281,0.985
41,0.864,0.255,0.954,0.132,0.864,0.255
42,0.815,0.571,0.900,0.500,0.815,0.571
43,0.780,0.818,0.861,0.788,0.780,0.818
44,0.382,0.933,0.421,0.922,0.382,0.933
45,0.358,0.942,0.395,0.932,0.358,0.942
46,0.404,0.930,0.446,0.918,0.404,0.930
47,0.863,0.262,0.952,0.140,0.863,0.262
48,0.875,0.206,0.966,0.075,0.875,0.206
49,0.291,0.979,0.321,0.975,0.291,0.979
50,0.802,0.665,0.885,0.609,0.802,0.665
51,0.404,0.930,0.446,0.918,0.404,0.930
52,0.887,0.165,0.980,0.027,0.887,0.165
53,0.883,0.176,0.976,0.040,0.883,0.176
54,0.820,0.535,0.905,0.458,0.820,0.535
55,0.336,0.952,0.371,0.945,0.336,0.952
56,0.400,0.930,0.441,0.918,0.400,0.930
57,0.813,0.589,0.897,0.521,0.813,0.589
58,0.822,0.523,0.907,0.444,0.822,0.523
59,0.329,0.956,0.363,0.949,0.329,0.956
60,0.819,0.544,0.904,0.469,0.819,0.544
61,0.798,0.692,0.881,0.641,0.798,0.692
62,0.344,0.948,0.380,0.940,0.344,0.948
63,0.343,0.949,0.379,0.940,0.343,0.949
64,0.299,0.974,0.330,0.970,0.299,0.974
65,0.766,0.907,0.846,0.891,0.766,0.907
66,0.846,0.357,0.934,0.251,0.846,0.357
67,0.278,0.986,0.307,0.984,0.278,0.986
68,0.886,0.169,0.978,0.032,0.886,0.169
69,0.360,0.941,0.397,0.931,0.360,0.941
70,0.872,0.218,0.963,0.088,0.872,0.218
71,0.791,0.740,0.874,0.697,0.791,0.740
72,0.368,0.937,0.406,0.927,0.368,0.937
73,0.839,0.406,0.926,0.308,0.839,0.406
74,0.851,0.326,0.940,0.215,0.851,0.326
75,0.832,0.450,0.919,0.359,0.832,0.450
76,0.299,0.974,0.330,0.970,0.299,0.974
77,0.261,0.995,0.288,0.994,0.261,0.995
78,0.296,0.976,0.326,0.972,0.296,0.976
79,0.868,0.235,0.959,0.108,0.868,0.235
80,0.842,0.387,0.929,0.285,0.842,0.387
81,0.790,0.747,0.873,0.705,0.790,0.747
82,0.317,0.964,0.350,0.958,0.317,0.964
83,0.304,0.971,0.335,0.966,0.304,0.971
84,0.362,0.940,0.399,0.930,0.362,0.940
85,0.360,0.941,0.397,0.931,0.360,0.941
86,0.250,1.000,0.276,1.000,0.250,1.000
87,0.000,1.000,0.000,1.000,0.000,1.000
88,0.862,0.266,0.952,0.145,0.862,0.266
89,0.889,0.161,0.982,0.022,0.889,0.161
90,0.364,0.939,0.401,0.929,0.364,0.939
91,0.270,0.990,0.298,0.989,0.270,0.990
92,0.878,0.195,0.969,0.061,0.878,0.195
93,0.810,0.606,0.894,0.541,0.810,0.606
94,0.896,0.148,0.990,0.007,0.896,0.148
95,0.383,0.932,0.423,0.921,0.383,0.932
96,0.370,0.936,0.409,0.926,0.370,0.936
97,0.296,0.976,0.327,0.972,0.296,0.976
98,0.341,0.950,0.376,0.942,0.341,0.950
99,0.308,0.969,0.339,0.964,0.308,0.969
100,0.839,0.400,0.927,0.301,0.839,0.400
101,0.383,0.932,0.423,0.921,0.383,0.932
102,0.262,0.995,0.289,0.994,0.262,0.995
103,0.833,0.442,0.920,0.349,0.833,0.442
104,0.285,0.982,0.314,0.980,0.285,0.982
105,0.788,0.765,0.870,0.727,0.788,0.765
106,0.276,0.987,0.304,0.985,0.276,0.987
107,0.338,0.951,0.373,0.943,0.338,0.951
108,0.264,0.994,0.291,0.992,0.264,0.994
109,0.309,0.968,0.341,0.963,0.309,0.968
