# {'N': 4, 'y': [14, 15], 'f': [0, 3], 'M': 4, 'mu_': [13, 13], 'f_': [4, 7], 'n': 1132, 'mu': [12, 12], 'y_': [16, 17], 'x': [8, 11]}
439,0.007,0.044,0.023,1.003,0.007,0.044,0.023,0.840,0.007,0.044,0.023,1.003,6.644,7.976,-15.581,-61.574,0.383,0.049
51,0.906,0.062,0.052,0.719,0.926,0.062,0.053,0.506,0.906,0.062,0.052,0.719,0.962,1.102,58.394,20.015,0.941,0.579
752,0.921,0.895,0.042,0.438,0.941,0.902,0.043,0.178,0.921,0.895,0.042,0.438,0.910,1.014,-23.943,68.876,0.320,0.896
731,0.072,0.888,0.050,0.726,0.073,0.895,0.051,0.515,0.072,0.888,0.050,0.726,0.731,0.866,-41.431,-7.810,0.188,0.398
73,0.126,0.891,0.014,0.726,0.129,0.898,0.014,0.515,0.126,0.891,0.014,0.726,0.627,0.709,-42.577,-8.173,0.179,0.396
800,0.841,0.023,0.059,0.800,0.859,0.023,0.060,0.601,0.841,0.023,0.059,0.800,0.625,0.748,56.991,20.199,0.931,0.580
270,0.829,0.899,0.003,0.539,0.847,0.906,0.003,0.296,0.829,0.899,0.003,0.539,0.594,0.658,-23.765,67.028,0.321,0.884
525,0.006,0.862,0.080,0.757,0.006,0.869,0.082,0.552,0.006,0.862,0.080,0.757,0.564,0.654,-40.392,-7.523,0.196,0.400
943,0.856,0.911,0.850,0.292,0.874,0.918,0.872,0.007,0.856,0.911,0.850,0.292,0.563,0.618,-1.958,84.297,0.486,0.997
95,0.854,0.928,0.030,0.499,0.872,0.935,0.031,0.250,0.854,0.928,0.030,0.499,0.561,0.621,-23.834,67.914,0.321,0.890
538,0.908,0.014,0.852,0.526,0.928,0.014,0.875,0.280,0.908,0.014,0.852,0.526,0.544,0.595,20.647,30.945,0.656,0.650
646,0.006,0.034,0.885,0.818,0.006,0.034,0.908,0.622,0.006,0.034,0.885,0.818,0.521,0.577,31.008,-47.345,0.735,0.142
964,0.868,0.852,0.089,0.523,0.887,0.858,0.091,0.278,0.868,0.852,0.089,0.523,0.516,0.648,-22.580,67.962,0.330,0.891
801,0.099,0.002,0.845,0.817,0.101,0.002,0.867,0.621,0.099,0.002,0.845,0.817,0.506,0.585,30.437,-46.215,0.730,0.149
122,0.002,0.853,0.770,0.617,0.001,0.859,0.790,0.387,0.002,0.853,0.770,0.617,0.503,0.587,-46.827,25.031,0.147,0.612
649,0.909,0.114,0.024,0.721,0.929,0.115,0.025,0.509,0.909,0.114,0.024,0.721,0.475,0.525,59.260,20.701,0.948,0.584
1120,0.843,0.869,0.873,0.349,0.861,0.875,0.895,0.074,0.843,0.869,0.873,0.349,0.462,0.563,-1.100,83.371,0.492,0.991
57,0.892,0.021,0.758,0.572,0.912,0.021,0.777,0.335,0.892,0.021,0.758,0.572,0.455,0.510,22.438,30.225,0.670,0.645
148,0.875,0.884,0.904,0.286,0.894,0.891,0.927,0.000,0.875,0.884,0.904,0.286,0.453,0.489,-1.256,84.567,0.491,0.998
224,0.895,0.835,0.091,0.530,0.915,0.841,0.094,0.285,0.895,0.835,0.091,0.530,0.444,0.541,-21.942,67.936,0.335,0.890
498,0.107,0.907,0.837,0.533,0.109,0.914,0.858,0.289,0.107,0.907,0.837,0.533,0.424,0.527,-50.727,27.664,0.118,0.629
678,0.882,0.826,0.084,0.560,0.902,0.832,0.086,0.321,0.882,0.826,0.084,0.560,0.411,0.504,-21.650,67.213,0.337,0.886
858,0.019,0.133,0.793,0.838,0.019,0.134,0.813,0.647,0.019,0.133,0.793,0.838,0.410,0.516,29.519,-49.501,0.723,0.128
136,0.888,0.951,0.004,0.498,0.908,0.959,0.004,0.249,0.888,0.951,0.004,0.498,0.409,0.428,-24.438,67.960,0.316,0.891
167,0.877,0.024,0.187,0.741,0.896,0.024,0.191,0.533,0.877,0.024,0.187,0.741,0.402,0.461,58.165,18.069,0.940,0.566
885,0.941,0.902,0.766,0.314,0.962,0.909,0.786,0.033,0.941,0.902,0.766,0.314,0.396,0.427,-3.962,83.622,0.471,0.992
