# {'n':1132, 'M':4, 'N':4, 'f':[0,3], 'f_':[4,7], 'x':[8,11]}
0,0.904,0.772,0.579,0.643,0.923,0.777,0.594,0.418,0.904,0.772,0.579,0.643
1,0.895,0.937,0.606,0.416,0.915,0.944,0.622,0.152,0.895,0.937,0.606,0.416
2,0.923,0.070,0.738,0.593,0.943,0.071,0.757,0.360,0.923,0.070,0.738,0.593
3,0.852,0.877,0.549,0.490,0.871,0.883,0.564,0.239,0.852,0.877,0.549,0.490
4,0.867,0.508,0.695,0.651,0.885,0.511,0.713,0.427,0.867,0.508,0.695,0.651
5,0.851,0.348,0.299,0.772,0.870,0.351,0.307,0.569,0.851,0.348,0.299,0.772
6,0.224,0.002,0.455,1.012,0.229,0.002,0.467,0.851,0.224,0.002,0.455,1.012
7,0.214,0.365,0.014,0.984,0.218,0.368,0.014,0.817,0.214,0.365,0.014,0.984
8,0.456,0.843,0.744,0.637,0.466,0.850,0.763,0.411,0.456,0.843,0.744,0.637
9,0.836,0.855,0.465,0.583,0.854,0.862,0.477,0.348,0.836,0.855,0.465,0.583
10,0.371,0.929,0.558,0.689,0.379,0.936,0.572,0.472,0.371,0.929,0.558,0.689
11,0.797,0.077,0.586,0.871,0.815,0.078,0.602,0.685,0.797,0.077,0.586,0.871
12,0.251,0.883,0.188,0.734,0.257,0.890,0.192,0.524,0.251,0.883,0.188,0.734
13,0.111,0.937,0.825,0.565,0.114,0.944,0.846,0.327,0.111,0.937,0.825,0.565
14,0.119,0.328,0.533,0.982,0.121,0.331,0.547,0.815,0.119,0.328,0.533,0.982
15,0.911,0.924,0.194,0.447,0.931,0.931,0.199,0.189,0.911,0.924,0.194,0.447
16,0.470,0.885,0.026,0.712,0.480,0.891,0.027,0.499,0.470,0.885,0.026,0.712
17,0.139,0.329,0.831,0.807,0.142,0.331,0.853,0.610,0.139,0.329,0.831,0.807
18,0.315,0.335,0.498,0.973,0.322,0.337,0.511,0.805,0.315,0.335,0.498,0.973
19,0.040,0.839,0.283,0.817,0.041,0.845,0.290,0.621,0.040,0.839,0.283,0.817
20,0.808,0.112,0.865,0.690,0.826,0.112,0.888,0.473,0.808,0.112,0.865,0.690
