# {'f_': [3, 5], 'mu_': [10, 10], 'n': 578, 'N': 3, 'M': 3, 'mu': [9, 9], 'x': [6, 8], 'f': [0, 2]}
289,0.005,0.018,1.002,0.006,0.019,0.990,0.005,0.018,1.002,2.176,2.212
524,0.000,0.881,0.591,0.000,0.935,0.516,0.000,0.881,0.591,1.615,1.728
525,0.900,0.890,0.151,0.971,0.945,0.008,0.900,0.890,0.151,1.500,1.558
264,0.885,0.007,0.586,0.955,0.007,0.510,0.885,0.007,0.586,1.136,1.199
265,0.909,0.001,0.572,0.980,0.001,0.494,0.909,0.001,0.572,0.880,0.899
320,0.873,0.000,0.608,0.941,0.000,0.535,0.873,0.000,0.608,0.840,0.893
180,0.887,0.869,0.198,0.957,0.923,0.062,0.887,0.869,0.198,0.667,0.745
352,0.867,0.889,0.202,0.935,0.943,0.066,0.867,0.889,0.202,0.655,0.747
547,0.868,0.893,0.195,0.936,0.948,0.059,0.868,0.893,0.195,0.648,0.729
460,0.901,0.879,0.166,0.972,0.933,0.026,0.901,0.879,0.166,0.632,0.668
194,0.010,0.891,0.579,0.011,0.945,0.503,0.010,0.891,0.579,0.619,0.663
6,0.879,0.007,0.596,0.948,0.007,0.522,0.879,0.007,0.596,0.583,0.620
75,0.875,0.863,0.234,0.943,0.916,0.104,0.875,0.863,0.234,0.500,0.596
455,0.867,0.888,0.203,0.934,0.943,0.068,0.867,0.888,0.203,0.500,0.571
91,0.017,0.898,0.574,0.018,0.953,0.496,0.017,0.898,0.574,0.467,0.499
164,0.887,0.913,0.156,0.957,0.969,0.014,0.887,0.913,0.156,0.467,0.489
125,0.038,0.002,1.003,0.041,0.002,0.992,0.038,0.002,1.003,0.459,0.464
308,0.907,0.884,0.159,0.978,0.938,0.017,0.907,0.884,0.159,0.438,0.455
200,0.897,0.860,0.211,0.967,0.913,0.077,0.897,0.860,0.211,0.400,0.449
527,0.863,0.891,0.207,0.931,0.946,0.073,0.863,0.891,0.207,0.375,0.430
179,0.854,0.855,0.304,0.921,0.908,0.185,0.854,0.855,0.304,0.370,0.503
