# {'f_': [3, 5], 'y_': [13, 14], 'x': [6, 8], 'y': [11, 12], 'f': [0, 2], 'N': 3, 'M': 3, 'mu_': [10, 10], 'n': 578, 'mu': [9, 9]}
348,0.257,0.002,0.999,0.277,0.002,0.987,0.257,0.002,0.999,2.750,2.792,-8.575,-71.187,0.369,0.021
289,0.005,0.018,1.002,0.006,0.019,0.990,0.005,0.018,1.002,2.176,2.212,-46.731,-3.984,0.036,0.550
524,0.000,0.881,0.591,0.000,0.935,0.516,0.000,0.881,0.591,1.615,1.728,-5.274,39.978,0.398,0.896
525,0.900,0.890,0.151,0.971,0.945,0.008,0.900,0.890,0.151,1.500,1.558,57.249,13.705,0.944,0.689
444,0.885,0.198,0.594,0.954,0.210,0.520,0.885,0.198,0.594,1.145,1.539,-14.032,-45.115,0.321,0.226
264,0.885,0.007,0.586,0.955,0.007,0.510,0.885,0.007,0.586,1.136,1.199,-36.529,-38.585,0.125,0.278
304,0.221,0.290,0.995,0.239,0.308,0.982,0.221,0.290,0.995,1.029,1.385,10.008,6.182,0.531,0.630
488,0.251,0.258,0.998,0.270,0.274,0.986,0.251,0.258,0.998,0.971,1.357,11.497,6.781,0.544,0.635
265,0.909,0.001,0.572,0.980,0.001,0.494,0.909,0.001,0.572,0.880,0.899,-37.061,-39.311,0.120,0.272
320,0.873,0.000,0.608,0.941,0.000,0.535,0.873,0.000,0.608,0.840,0.893,-36.001,-37.789,0.129,0.284
505,0.219,0.294,0.994,0.236,0.312,0.982,0.219,0.294,0.994,0.750,1.005,9.712,5.950,0.529,0.628
180,0.887,0.869,0.198,0.957,0.923,0.062,0.887,0.869,0.198,0.667,0.745,57.959,12.638,0.950,0.681
352,0.867,0.889,0.202,0.935,0.943,0.066,0.867,0.889,0.202,0.655,0.747,57.242,12.343,0.944,0.678
547,0.868,0.893,0.195,0.936,0.948,0.059,0.868,0.893,0.195,0.648,0.729,56.890,12.578,0.941,0.680
460,0.901,0.879,0.166,0.972,0.933,0.026,0.901,0.879,0.166,0.632,0.668,57.633,13.311,0.947,0.686
194,0.010,0.891,0.579,0.011,0.945,0.503,0.010,0.891,0.579,0.619,0.663,-5.259,39.415,0.398,0.891
6,0.879,0.007,0.596,0.948,0.007,0.522,0.879,0.007,0.596,0.583,0.620,-36.219,-38.273,0.127,0.280
183,0.903,0.211,0.578,0.974,0.224,0.501,0.903,0.211,0.578,0.559,0.745,-13.574,-45.444,0.325,0.224
185,0.903,0.211,0.578,0.974,0.224,0.501,0.903,0.211,0.578,0.559,0.745,-13.328,-45.493,0.327,0.223
442,0.899,0.217,0.579,0.969,0.230,0.502,0.899,0.217,0.579,0.514,0.696,-13.228,-45.140,0.328,0.226
75,0.875,0.863,0.234,0.943,0.916,0.104,0.875,0.863,0.234,0.500,0.596,57.966,11.472,0.950,0.671
270,0.895,0.218,0.581,0.965,0.231,0.504,0.895,0.218,0.581,0.500,0.681,-13.509,-44.881,0.326,0.228
385,0.219,0.296,0.994,0.236,0.314,0.981,0.219,0.296,0.994,0.500,0.671,9.643,5.701,0.528,0.626
455,0.867,0.888,0.203,0.934,0.943,0.068,0.867,0.888,0.203,0.500,0.571,57.312,12.181,0.945,0.677
