# {'f_': [4, 7], 'mu_': [13, 13], 'n': 1132, 'N': 4, 'M': 4, 'mu': [12, 12], 'x': [8, 11], 'f': [0, 3]}
439,0.007,0.044,0.023,1.003,0.007,0.044,0.023,0.840,0.007,0.044,0.023,1.003,6.644,7.976
51,0.906,0.062,0.052,0.719,0.926,0.062,0.053,0.506,0.906,0.062,0.052,0.719,0.962,1.102
752,0.921,0.895,0.042,0.438,0.941,0.902,0.043,0.178,0.921,0.895,0.042,0.438,0.910,1.014
731,0.072,0.888,0.050,0.726,0.073,0.895,0.051,0.515,0.072,0.888,0.050,0.726,0.731,0.866
73,0.126,0.891,0.014,0.726,0.129,0.898,0.014,0.515,0.126,0.891,0.014,0.726,0.627,0.709
800,0.841,0.023,0.059,0.800,0.859,0.023,0.060,0.601,0.841,0.023,0.059,0.800,0.625,0.748
270,0.829,0.899,0.003,0.539,0.847,0.906,0.003,0.296,0.829,0.899,0.003,0.539,0.594,0.658
525,0.006,0.862,0.080,0.757,0.006,0.869,0.082,0.552,0.006,0.862,0.080,0.757,0.564,0.654
943,0.856,0.911,0.850,0.292,0.874,0.918,0.872,0.007,0.856,0.911,0.850,0.292,0.563,0.618
95,0.854,0.928,0.030,0.499,0.872,0.935,0.031,0.250,0.854,0.928,0.030,0.499,0.561,0.621
538,0.908,0.014,0.852,0.526,0.928,0.014,0.875,0.280,0.908,0.014,0.852,0.526,0.544,0.595
646,0.006,0.034,0.885,0.818,0.006,0.034,0.908,0.622,0.006,0.034,0.885,0.818,0.521,0.577
964,0.868,0.852,0.089,0.523,0.887,0.858,0.091,0.278,0.868,0.852,0.089,0.523,0.516,0.648
801,0.099,0.002,0.845,0.817,0.101,0.002,0.867,0.621,0.099,0.002,0.845,0.817,0.506,0.585
122,0.002,0.853,0.770,0.617,0.001,0.859,0.790,0.387,0.002,0.853,0.770,0.617,0.503,0.587
649,0.909,0.114,0.024,0.721,0.929,0.115,0.025,0.509,0.909,0.114,0.024,0.721,0.475,0.525
1120,0.843,0.869,0.873,0.349,0.861,0.875,0.895,0.074,0.843,0.869,0.873,0.349,0.462,0.563
57,0.892,0.021,0.758,0.572,0.912,0.021,0.777,0.335,0.892,0.021,0.758,0.572,0.455,0.510
148,0.875,0.884,0.904,0.286,0.894,0.891,0.927,0.000,0.875,0.884,0.904,0.286,0.453,0.489
224,0.895,0.835,0.091,0.530,0.915,0.841,0.094,0.285,0.895,0.835,0.091,0.530,0.444,0.541
498,0.107,0.907,0.837,0.533,0.109,0.914,0.858,0.289,0.107,0.907,0.837,0.533,0.424,0.527
678,0.882,0.826,0.084,0.560,0.902,0.832,0.086,0.321,0.882,0.826,0.084,0.560,0.411,0.504
858,0.019,0.133,0.793,0.838,0.019,0.134,0.813,0.647,0.019,0.133,0.793,0.838,0.410,0.516
136,0.888,0.951,0.004,0.498,0.908,0.959,0.004,0.249,0.888,0.951,0.004,0.498,0.409,0.428
167,0.877,0.024,0.187,0.741,0.896,0.024,0.191,0.533,0.877,0.024,0.187,0.741,0.402,0.461
885,0.941,0.902,0.766,0.314,0.962,0.909,0.786,0.033,0.941,0.902,0.766,0.314,0.396,0.427
633,0.874,0.920,0.112,0.461,0.893,0.927,0.115,0.205,0.874,0.920,0.112,0.461,0.387,0.477
738,0.035,0.086,0.739,0.873,0.035,0.086,0.758,0.687,0.035,0.086,0.739,0.873,0.383,0.530
203,0.085,0.914,0.760,0.572,0.087,0.921,0.780,0.335,0.085,0.914,0.760,0.572,0.381,0.456
174,0.052,0.032,0.722,0.883,0.053,0.032,0.740,0.699,0.052,0.032,0.722,0.883,0.378,0.534
968,0.851,0.842,0.091,0.572,0.869,0.849,0.093,0.335,0.851,0.842,0.091,0.572,0.377,0.486
718,0.843,0.016,0.754,0.649,0.861,0.016,0.773,0.425,0.843,0.016,0.754,0.649,0.376,0.445
1125,0.876,0.838,0.734,0.407,0.895,0.845,0.753,0.141,0.876,0.838,0.734,0.407,0.366,0.485
614,0.129,0.899,0.777,0.561,0.132,0.906,0.798,0.322,0.129,0.899,0.777,0.561,0.349,0.452
579,0.075,0.925,0.734,0.598,0.076,0.932,0.753,0.366,0.075,0.925,0.734,0.598,0.336,0.393
275,0.115,0.888,0.716,0.611,0.117,0.894,0.734,0.380,0.115,0.888,0.716,0.611,0.333,0.429
1051,0.867,0.832,0.745,0.426,0.886,0.838,0.764,0.164,0.867,0.832,0.745,0.426,0.330,0.457
512,0.922,0.025,0.704,0.615,0.942,0.025,0.723,0.385,0.922,0.025,0.704,0.615,0.329,0.359
320,0.126,0.894,0.721,0.603,0.129,0.901,0.740,0.371,0.126,0.894,0.721,0.603,0.325,0.421
916,0.938,0.024,0.099,0.749,0.958,0.024,0.102,0.542,0.938,0.024,0.099,0.749,0.325,0.348
345,0.909,0.011,0.198,0.723,0.929,0.011,0.203,0.512,0.909,0.011,0.198,0.723,0.321,0.349
44,0.802,0.005,0.804,0.714,0.819,0.005,0.824,0.501,0.802,0.005,0.804,0.714,0.321,0.391
578,0.844,0.019,0.703,0.684,0.862,0.019,0.721,0.466,0.844,0.019,0.703,0.684,0.316,0.375
1110,0.008,0.137,0.725,0.883,0.008,0.138,0.744,0.700,0.008,0.137,0.725,0.883,0.316,0.430
191,0.011,0.801,0.809,0.713,0.011,0.808,0.830,0.500,0.011,0.801,0.809,0.713,0.313,0.382
37,0.885,0.807,0.088,0.602,0.904,0.814,0.090,0.370,0.885,0.807,0.088,0.602,0.312,0.384
987,0.120,0.054,0.819,0.827,0.123,0.054,0.840,0.634,0.120,0.054,0.819,0.827,0.310,0.395
1017,0.846,0.061,0.736,0.658,0.864,0.061,0.755,0.435,0.846,0.061,0.736,0.658,0.310,0.386
961,0.153,0.010,0.745,0.869,0.157,0.010,0.765,0.682,0.153,0.010,0.745,0.869,0.302,0.400
716,0.917,0.173,0.004,0.724,0.936,0.175,0.004,0.513,0.917,0.173,0.004,0.724,0.296,0.317
1005,0.027,0.000,0.932,0.855,0.028,0.000,0.956,0.667,0.027,0.000,0.932,0.855,0.296,0.309
151,0.835,0.225,0.001,0.814,0.853,0.226,0.001,0.618,0.835,0.225,0.001,0.814,0.295,0.347
820,0.239,0.821,0.002,0.845,0.244,0.827,0.002,0.654,0.239,0.821,0.002,0.845,0.293,0.355
592,0.017,0.831,0.771,0.663,0.017,0.838,0.791,0.442,0.017,0.831,0.771,0.663,0.292,0.355
22,0.856,0.033,0.140,0.772,0.875,0.033,0.143,0.570,0.856,0.033,0.140,0.772,0.284,0.338
697,0.885,0.106,0.669,0.647,0.904,0.107,0.687,0.422,0.885,0.106,0.669,0.647,0.283,0.355
261,0.129,0.896,0.688,0.626,0.132,0.903,0.706,0.398,0.129,0.896,0.688,0.626,0.281,0.364
972,0.157,0.871,0.031,0.749,0.160,0.877,0.031,0.542,0.157,0.871,0.031,0.749,0.280,0.331
915,0.912,0.939,0.709,0.350,0.932,0.946,0.728,0.075,0.912,0.939,0.709,0.350,0.279,0.320
703,0.844,0.309,0.001,0.780,0.862,0.311,0.001,0.579,0.844,0.309,0.001,0.780,0.278,0.323
1030,0.892,0.894,0.613,0.389,0.911,0.901,0.629,0.121,0.892,0.894,0.613,0.389,0.274,0.347
1046,0.073,0.948,0.019,0.772,0.075,0.955,0.019,0.570,0.073,0.948,0.019,0.772,0.274,0.292
283,0.887,0.805,0.812,0.425,0.906,0.811,0.834,0.162,0.887,0.805,0.812,0.425,0.268,0.360
986,0.129,0.020,0.709,0.896,0.132,0.020,0.727,0.714,0.129,0.020,0.709,0.896,0.266,0.376
792,0.925,0.944,0.775,0.325,0.945,0.951,0.795,0.046,0.925,0.944,0.775,0.325,0.266,0.294
1037,0.809,0.857,0.080,0.638,0.826,0.864,0.082,0.412,0.809,0.857,0.080,0.638,0.265,0.339
124,0.016,0.938,0.893,0.565,0.016,0.945,0.917,0.327,0.016,0.938,0.893,0.565,0.263,0.283
533,0.845,0.867,0.106,0.539,0.863,0.874,0.109,0.296,0.845,0.867,0.106,0.539,0.262,0.343
183,0.162,0.899,0.801,0.548,0.166,0.906,0.822,0.307,0.162,0.899,0.801,0.548,0.259,0.349
246,0.001,0.014,0.624,0.947,0.001,0.014,0.641,0.774,0.001,0.014,0.624,0.947,0.258,0.334
