# {'n': 1000, 'f_': [3, 5], 'M': 3, 'f': [0, 2], 'mu_': [9, 9], 'mu': [8, 8], 'x': [6, 7], 'N': 2}
98,0.340,0.407,0.207,0.340,0.407,0.601,0.340,0.407,0.566,2.170
90,0.460,0.317,0.180,0.460,0.316,0.587,0.460,0.317,0.564,2.081
634,0.410,0.332,0.217,0.410,0.332,0.606,0.410,0.332,0.562,2.052
535,0.366,0.365,0.226,0.366,0.365,0.611,0.366,0.365,0.562,2.285
636,0.312,0.458,0.189,0.312,0.458,0.592,0.312,0.458,0.560,2.001
611,0.318,0.436,0.204,0.319,0.436,0.600,0.318,0.436,0.560,1.993
589,0.507,0.305,0.149,0.507,0.305,0.571,0.507,0.305,0.559,2.102
264,0.304,0.455,0.205,0.304,0.455,0.600,0.304,0.455,0.556,1.878
728,0.519,0.362,0.035,0.520,0.362,0.512,0.519,0.362,0.554,3.505
186,0.329,0.388,0.249,0.329,0.388,0.623,0.329,0.388,0.554,1.883
945,0.300,0.511,0.152,0.300,0.511,0.573,0.300,0.511,0.554,2.028
78,0.397,0.322,0.249,0.397,0.321,0.623,0.397,0.322,0.552,1.829
722,0.327,0.386,0.254,0.327,0.386,0.626,0.327,0.386,0.552,1.847
76,0.329,0.381,0.259,0.329,0.381,0.628,0.329,0.381,0.552,1.845
308,0.526,0.357,0.040,0.526,0.357,0.514,0.526,0.357,0.549,3.250
490,0.362,0.333,0.278,0.362,0.332,0.638,0.362,0.333,0.549,1.793
783,0.315,0.390,0.267,0.315,0.390,0.632,0.315,0.390,0.549,1.731
824,0.507,0.285,0.179,0.507,0.285,0.587,0.507,0.285,0.549,1.817
583,0.325,0.375,0.272,0.325,0.375,0.635,0.325,0.375,0.548,1.769
687,0.326,0.362,0.287,0.326,0.362,0.643,0.326,0.362,0.546,1.721
255,0.539,0.297,0.131,0.540,0.297,0.561,0.539,0.297,0.545,2.066
272,0.360,0.327,0.289,0.360,0.327,0.644,0.360,0.327,0.544,1.718
955,0.412,0.284,0.284,0.412,0.284,0.641,0.412,0.284,0.541,1.516
314,0.341,0.337,0.300,0.341,0.337,0.650,0.341,0.337,0.541,1.727
225,0.441,0.274,0.264,0.442,0.274,0.631,0.441,0.274,0.540,1.512
954,0.131,0.005,0.864,0.131,0.005,0.944,0.131,0.005,0.538,0.573
75,0.303,0.368,0.310,0.303,0.368,0.655,0.303,0.368,0.538,1.529
946,0.533,0.254,0.197,0.533,0.254,0.596,0.533,0.254,0.537,1.571
922,0.320,0.343,0.319,0.320,0.343,0.660,0.320,0.343,0.537,1.580
367,0.266,0.440,0.277,0.266,0.440,0.638,0.266,0.440,0.537,1.443
705,0.258,0.515,0.210,0.258,0.515,0.603,0.258,0.515,0.537,1.556
261,0.517,0.399,-0.034,0.517,0.399,0.475,0.517,0.399,0.537,4.547
665,0.096,0.010,0.895,0.095,0.009,0.960,0.096,0.010,0.536,0.563
99,0.503,0.407,-0.037,0.504,0.407,0.474,0.503,0.407,0.536,5.523
515,0.516,0.249,0.222,0.516,0.248,0.609,0.516,0.249,0.535,1.483
277,0.250,0.443,0.294,0.250,0.444,0.646,0.250,0.443,0.534,1.349
174,0.246,0.450,0.292,0.246,0.450,0.645,0.246,0.450,0.534,1.338
651,0.291,0.353,0.343,0.291,0.353,0.672,0.291,0.353,0.533,1.400
312,0.296,0.335,0.357,0.296,0.335,0.679,0.296,0.335,0.533,1.392
236,0.482,0.244,0.261,0.483,0.244,0.629,0.482,0.244,0.533,1.383
349,0.285,0.358,0.345,0.285,0.358,0.673,0.285,0.358,0.532,1.372
554,0.252,0.429,0.306,0.252,0.429,0.653,0.252,0.429,0.532,1.327
820,0.392,0.260,0.338,0.392,0.259,0.669,0.392,0.260,0.532,1.298
297,0.241,0.461,0.286,0.241,0.461,0.643,0.241,0.461,0.532,1.323
12,0.369,0.271,0.349,0.369,0.271,0.675,0.369,0.271,0.532,1.316
632,0.473,0.242,0.273,0.473,0.242,0.636,0.473,0.242,0.531,1.349
53,0.342,0.280,0.368,0.342,0.280,0.685,0.342,0.280,0.531,1.311
245,0.415,0.245,0.329,0.415,0.245,0.665,0.415,0.245,0.531,1.263
378,0.234,0.489,0.267,0.234,0.489,0.633,0.234,0.489,0.530,1.329
740,0.331,0.290,0.370,0.331,0.290,0.686,0.331,0.290,0.530,1.338
458,0.228,0.519,0.243,0.228,0.520,0.620,0.228,0.519,0.530,1.352
743,0.909,0.001,0.090,0.910,0.000,0.540,0.909,0.001,0.530,0.582
624,0.459,0.227,0.306,0.459,0.226,0.653,0.459,0.227,0.529,1.240
400,0.354,0.002,0.644,0.354,0.001,0.830,0.354,0.002,0.529,0.638
913,0.480,0.219,0.293,0.480,0.219,0.646,0.480,0.219,0.529,1.238
454,0.433,0.224,0.335,0.433,0.224,0.668,0.433,0.224,0.528,1.189
973,0.332,0.277,0.382,0.333,0.277,0.693,0.332,0.277,0.528,1.268
889,0.385,0.003,0.613,0.385,0.002,0.813,0.385,0.003,0.528,0.651
