3.9359e-01	5.5470e-01	8.0912e-01	4.5679e-01	1.3650e-01	5.3399e-01	6.5064e-01	6.7306e-01
6.7459e-01	5.5896e-01	6.8966e-01	5.0784e-01	8.5693e-01	5.8873e-01	4.2418e-01	1.6928e-01
5.0702e-01	6.6213e-01	3.8908e-02	4.4511e-01	6.1290e-01	5.5260e-01	7.9074e-01	5.9939e-01
2.1482e-01	3.7270e-01	6.4510e-01	3.3998e-01	8.7366e-01	3.8878e-01	5.0135e-01	5.9326e-01
4.9796e-01	5.2214e-01	5.4249e-01	5.8289e-01	5.8841e-01	2.9354e-01	5.6796e-01	5.3675e-01
5.4613e-01	3.1872e-01	5.4702e-01	5.7534e-01	5.6400e-01	5.7970e-01	7.2523e-01	2.0728e-01
3.1445e-01	4.2493e-01	4.2103e-01	6.5794e-01	5.6681e-01	2.3811e-01	6.5464e-01	4.9444e-01
6.2517e-01	6.2313e-01	4.9117e-01	7.7093e-01	1.5622e-01	7.3461e-01	5.3188e-01	4.5092e-01
5.8548e-01	2.4559e-01	3.9624e-01	7.8206e-01	6.5391e-01	6.9226e-01	5.4469e-01	2.9656e-01
5.5688e-01	4.4592e-01	4.6129e-01	6.0087e-01	5.8059e-01	2.4393e-01	5.7544e-01	6.2048e-01
6.2952e-01	3.4261e-01	6.0889e-01	5.9284e-01	6.6303e-01	7.4668e-01	1.3116e-01	5.0266e-01
6.7646e-01	5.3405e-01	3.2324e-01	5.0030e-01	3.0652e-01	7.6940e-01	7.9292e-01	3.9933e-01
6.3702e-01	5.4371e-01	5.6242e-01	5.8039e-01	5.9588e-01	3.3383e-01	8.3136e-01	2.3807e-01
6.7393e-01	3.8626e-01	7.7678e-01	6.7001e-01	3.0490e-01	4.2192e-01	4.8694e-01	7.0323e-01
3.2771e-01	5.3787e-01	5.4364e-01	7.9145e-01	6.8489e-01	5.0766e-01	4.0755e-01	3.5017e-01
7.7730e-01	7.1483e-01	8.2396e-01	3.4168e-01	4.4779e-01	5.8704e-01	3.2613e-01	6.6591e-01
5.9451e-01	6.9331e-01	6.4501e-01	5.8919e-01	5.2927e-01	9.1131e-02	7.9192e-01	4.5757e-01
6.9065e-01	6.8107e-01	4.0110e-01	7.4578e-01	5.0838e-01	6.8465e-01	5.6693e-01	2.7172e-01
2.2946e-01	4.0705e-01	5.0496e-01	6.9112e-01	6.2780e-01	4.3189e-01	5.1200e-01	4.4590e-01
2.7036e-01	5.1412e-01	4.4103e-01	4.7042e-01	4.8299e-01	7.7762e-01	6.3319e-01	2.6493e-01
3.9975e-01	3.6228e-01	2.9967e-01	4.9922e-01	3.7382e-01	7.8000e-01	7.1039e-01	2.3590e-01
